## 
## THIS LEXICON: Adapted from MPQA Subjectivity Lexicon
## Source Lexicon URL: http://mpqa.cs.pitt.edu/lexicons/subj_lexicon/
## Source Lexicon Construction: manual, semi-automatic
##
## Other Notes:  
##    The subjectivity (reliability) scores are just numeric guestimates 
##    of the strongsubj and weaksubj labels used in the original lexicon.
##          strongsubj -> reliability=1
##          weaksubj -> reliability=0.25
##
## Line Format: WORD	POLARITY	SUBJECTIVITY_SCORE
assault	negative	0.25
assaulted	negative	0.25
assaults	negative	0.25
assent	positive	1
assented	positive	1
assenting	positive	1
assents	positive	1
assertion	positive	1
assertions	positive	1
assertive	positive	0.25
asset	positive	0.25
assets	positive	0.25
assiduous	positive	1
assiduously	positive	1
assuage	positive	0.25
assuaged	positive	0.25
assuages	positive	0.25
assuaging	positive	0.25
assurance	positive	0.25
assurances	positive	0.25
assure	positive	1
assured	positive	1
assuredly	positive	1
assures	positive	1
assuring	positive	1
astonish	positive	1
astonished	positive	1
astonishes	positive	1
astonishing	positive	1
astonishingly	positive	1
astonishment	positive	1
astonishments	positive	1
astound	positive	1
astounded	positive	1
astounding	positive	1
astoundingly	positive	1
astounds	positive	1
astray	negative	0.25
astute	positive	1
astutely	positive	1
asunder	negative	1
asylum	positive	0.25
asylums	positive	0.25
atrocious	negative	1
atrocities	negative	1
atrocity	negative	1
atrophied	negative	1
atrophies	negative	1
atrophy	negative	1
atrophying	negative	1
attack	negative	0.25
attacked	negative	0.25
attacking	negative	0.25
attacks	negative	0.25
attain	positive	0.25
attainable	positive	0.25
attained	positive	0.25
attaining	positive	0.25
attains	positive	0.25
attentive	positive	1
attest	positive	1
attested	positive	1
attesting	positive	1
attests	positive	1
attraction	positive	1
attractions	positive	1
attractive	positive	1
attractively	positive	1
attractiveness	positive	1
attune	positive	0.25
attuned	positive	0.25
audacious	negative	1
audaciously	negative	1
audaciousness	negative	1
audacities	negative	1
audacity	negative	1
auspicious	positive	1
austere	negative	1
austerer	negative	1
austerest	negative	1
authentic	positive	0.25
authoritarian	negative	0.25
authoritative	positive	0.25
autocrat	negative	1
autocratic	negative	1
autocrats	negative	1
autonomous	positive	0.25
avalanche	negative	1
avalanched	negative	1
avalanches	negative	1
avalanching	negative	1
avarice	negative	1
avarices	negative	1
avaricious	negative	1
avariciously	negative	1
avenge	negative	1
avenged	negative	1
avenges	negative	1
avenging	negative	1
aver	positive	1
averred	positive	1
averring	positive	1
avers	positive	1
averse	negative	1
aversion	negative	1
aversions	negative	1
avid	positive	1
avidly	positive	1
avoid	negative	0.25
avoidance	negative	0.25
avoidances	negative	0.25
